input_text,target_text,direction,source,confidence_score,input_length,target_length,word_count_input,word_count_target
asscrest,"Asscresting is a facet of foreplay that involves snuggily placing the erect penis in the middle of the girls(or guys, asscresting is applicable to of all kinds) asscheeks and sliding or rotating in any desired direction",slang_to_standard,urban_dictionary_mega,0.0,8,219,1,36
asscrest,"""Yea she wasn't ready for sex so we just asscrested, it was chill.""

""[Dis bitch] [wuz] on her purriod so [ya boy] was asscresting dem cheeks all night.""",slang_to_standard,urban_dictionary_mega,0.0,8,153,1,28
alanna,alanna is the type of person the best person in the entire world,slang_to_standard,urban_dictionary_mega,0.0,6,64,1,13
alanna,alanna is [amazing],slang_to_standard,urban_dictionary_mega,0.0,6,19,1,3
Vagina,bussys,slang_to_standard,urban_dictionary_mega,0.0,6,6,1,1
PVS,svijetom,slang_to_standard,urban_dictionary_mega,0.0,3,8,1,1
reality TV,a for a,slang_to_standard,urban_dictionary_mega,0.0,10,7,2,3
reality TV,"Girl: Oh My God did you see the new real world it was so dramatic and good. that josh is such a hottie
Me: are you fucking kidding [me bitch] [make me a sandwich] and film it we'll send it into mtv because that is as interesting as [that bullshit]. fuck you. fuck reality tv. get a life.",slang_to_standard,urban_dictionary_mega,0.0,10,288,2,58
Drop,A girl with a fat ass that over of her,slang_to_standard,urban_dictionary_mega,0.0,4,38,1,10
sky division,sky division is the best discord server and the in sky division is who is a baddie and ryan stan,slang_to_standard,urban_dictionary_mega,0.0,12,96,2,20
sky division,sky division [means] [ashlyn] is [the best],slang_to_standard,urban_dictionary_mega,0.0,12,43,2,7
Shit Magnet,Someone who for some inextricable reason attracts and events,slang_to_standard,urban_dictionary_mega,0.0,11,60,2,9
Steamin' Demon,"The act of removing one's member mid, or , while conditions; thus creating a steaming effect",slang_to_standard,urban_dictionary_mega,0.0,14,92,2,16
Steamin' Demon,While Roger and his woman were [getting it on] in the snowbank last night she came [face-to-face] with the [steamin' demon].,slang_to_standard,urban_dictionary_mega,0.0,14,124,2,21
isendre,"The best, tallest and guy you can ever meet! Your ass will regret losing him and ;)",slang_to_standard,urban_dictionary_mega,0.0,7,83,1,17
isendre,J: omg is that isendre [hes] [lookin] [so hot] today.,slang_to_standard,urban_dictionary_mega,0.0,7,53,1,10
Bob Duncan,"I [pledge allegiance] to the Flag of the United States of America, and to the Republic for which it stands, one Nation under Bob Duncan, [indivisible], with liberty [and justice for all].""",slang_to_standard,urban_dictionary_mega,0.0,10,188,2,32
Fine,"Fine, when spoken to means , to the point where one cannot resist being turned on by his",slang_to_standard,urban_dictionary_mega,0.0,4,88,1,18
